,Star,Dist,star_mass,star_radius
131,43,LP 944-20,20.9,0.069684924
132,44,2MASP J0345432+254023,88.0,0.070639512
133,45,Teide 1,380.0,0.05250234
134,46,2MASS J03510004-0052452,48.0,0.09736797600000001
135,47,2MASS J03552337+1133437,29.8,0.01909176
136,49,2MASS J04151954−0935066,18.6,0.028637640000000002
137,51,2MASS J04285096-2253227 [de],85.0,0.07636704
138,52,2MASS J04351612-1606574,34.0,0.0954588
139,53,2MASS J04362788-4114465,142.0,0.037228932
140,54,2MASS J04390101-2353083 [de],29.5,0.045820224
141,56,2MASS J04433764+0002040,82.0,0.021000936
142,57,2MASS J04455387-3048204 [de],42.0,0.061093632
143,58,2MASS J04510093-3402150 [de],69.0,0.00099277152
144,59,2MASS J05002100+0330501 [de],44.0,0.061093632
145,60,2MASS J05012406-0010452 [de],64.0,0.020046348000000002
146,61,2MASS J05160945-0445499 [de],73.0,0.044865636
147,62,2MASS J0523−1403,40.0,0.064911984
148,64,SDSS J053951.99-005902.0,41.62,0.058229868000000004
149,66,LSR 0602+3910 [de],34.6,0.026728464
150,67,2MASS J06085283-2753583,102.0,0.036274344
151,70,2MASS J06244595-4521548 [de],39.0,0.053456928
152,71,2MASS J06411840-4322329 [de],65.0,0.063957396
153,72,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001
154,74,2MASS J07075327-4900503,60.0,0.068730336
155,75,UGPS J072227.51-054031.2,13.4,0.024819288000000002
156,76,2MASSI J0727182+171001 [de],29.6,0.039138108
157,77,2MASS J07290002-3954043 [de],25.8,0.035319756
158,78,SDSS J074201.41+205520.5 [de],49.0,0.041047284
159,80,DENIS-P J0751164-253043 [de],55.0,0.067775748
160,81,2MASS J07522390+1612157,60.0,0.00191872188
161,82,DENIS J081730.0-615520,16.1,0.042001872
162,85,2MASS J08251968+2115521 [de],35.0,0.049638576000000004
163,86,SDSSp J083008.12+482847.4 [de],43.0,0.045820224
164,87,LHS 2021,55.0,0.084003744
165,88,SDSS J083048.80+012831.1 [de],77.0,0.043911048
166,89,2MASSI J0835425-081923 [de],23.53,0.059184456
167,90,2MASSI J0847287-153237 [de],43.0,0.061093632
168,91,2MASS J08533619-0329321,27.6,0.073503276
169,92,2MASSI J0859254-194926 [de],50.0,0.0477294
170,94,2MASSI J0937347+293142,20.0,0.040092696000000004
171,95,2MASS 0939−2448,17.4,0.030546816
172,96,2MASS J09490860-1545485 [de],59.0,0.046774812
173,97,2MASS J10073369-4555147,46.0,0.042001872
174,98,2MASSI J1010148-040649 [de],55.0,0.048683988000000004
175,101,2MASS J10224821+5825453 [de],60.0,0.025773876
176,102,2MASSW J1036530-344138 [de],53.0,0.046774812
177,103,2MASS J1047538+212423 [de],34.4,0.040092696000000004
178,104,DEN 1048-3956,13.15,0.073503276
179,105,Luhman 16B,6.516,0.041047284
180,106,Luhman 16A,6.516,0.03818352
181,107,DENIS-P J1058.7−1548,49.0,0.061093632
182,108,TWA 28,180.0,0.034365168
183,109,Cha 110913-773444,163.0,0.007636704
184,111,SDSS J111010.01+011613.1,63.0,0.008591292
185,112,2MASS J11145133−2618235,18.2,0.031501404000000004
186,113,TWA 26,137.0,0.028637640000000002
187,115,2MASS J11544223-3400390 [de],129.0,0.035319756
188,116,2MASSW J1155395-372735 [de],31.0,0.061093632
189,119,2MASS J12074836-3900043,217.0,0.016227996
190,120,2MASSI J1217110-031113 [de],36.0,0.040092696000000004
191,123,2M 1237+6526,45.6,0.039138108
192,125,TWA 29,262.0,0.001909176
193,126,SDSSp J125453.90-012247.4 [de],38.0,0.044865636
194,127,Kelu-1A,61.0,0.060139044
195,128,Kelu-1B,61.0,0.055366104
196,129,2MASS J13204427+0409045,101.0,0.063957396
197,130,SDSSp J132629.82-003831.5 [de],65.0,0.048683988000000004
198,131,SDSSp J134646.45-003150.4 [de],48.0,0.042001872
199,132,2MASS J13595510-4034582,51.0,0.060139044
200,133,ULAS J141623.94+134836.3,29.7,0.030546816
201,134,SDSS J141659.78+500626.4 [de],149.0,0.056320692
202,135,DENIS-P J142527.97-365023.4 [de],38.0,0.020046348000000002
203,136,LHS 2924,38.5,0.072548688
204,137,2MASS J14392837+1929150,47.0,0.068730336
205,138,LSPM J1440+1339,72.0,0.087822096
206,139,2MASS J14482563+1031590 [de],47.0,0.056320692
207,140,CFBDSIR 1458+10A,104.0,0.0105959268
208,141,CFBDSIR 1458+10B,104.0,0.008591292
209,142,TVLM 513-46546,35.1,0.07159410000000001
210,143,2MASS 1503+2525,20.7,0.042001872
211,144,CFBDS J150411+102717,71.0,0.042001872
212,145,2MASSW J1506544+132106 [de],46.0,0.065866572
213,146,2MASS 1507−1627,23.9,0.057275280000000005
214,147,TVLM 868-110639,53.0,0.075412452
215,149,2MASSW J1515008+484742 [de],34.0,0.054411516
216,150,2MASSI J1526140+204341 [de],67.0,0.051547752
217,151,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044
218,152,2MASS J15462718-3325111 [de],37.0,0.042001872
219,153,2MASSW J1552591+294849 [de],68.0,0.028637640000000002
220,154,2MASSW J1555157-095605 [de],44.0,0.067775748
221,155,2MASS J16150413+1340079 [de],48.0,0.040092696000000004
222,156,SDSSp J162414.37+002915.6 [de],36.0,0.041047284
223,157,2MASS J16262034+3925190 [de],110.0,0.067775748
224,158,2MASSW J1632291+190441 [de],50.0,0.046774812
225,159,WISEPA J164715.59+563208.2,28.0,0.039138108
226,160,LSPM J1658+7027 [de],60.0,0.069684924
227,161,2MASSI J1726000+153819,114.0,0.022910112
228,163,SDSSp J175032.96+175903.9,90.0,0.044865636
229,164,2MASS J18283572-4849046,39.0,0.04295646
230,165,LSR J1835+3259,18.5,0.073503276
231,166,2MASSW J1841086+311727,138.0,0.063957396
232,167,2MASS J18432213+4040209,46.0,0.091640448
233,168,2MASS J20004841-7523070,105.0,0.0238647
234,169,SDSS J204749.61-071818.3,65.0,0.043911048
235,170,2MASSI J2057540-025230,47.0,0.06682116
236,172,2MASSI J2104149-103736,62.0,0.065866572
237,173,PSO J318.5−22,80.0,0.0062048220000000005
238,174,HB 2124-4228,113.0,0.089731272
239,175,2MASS J21392676+0220226,32.1,0.043911048
240,176,2MASS J21481628+4003593,26.3,0.05250234
241,178,2MASSW J2206450-421721,93.0,0.021000936
242,179,2MASSW J2208136+292121,154.0,0.025773876
243,180,2MASSW J2224438-015852,38.0,0.058229868000000004
244,181,2MASS J22282889-4310262,35.0,0.040092696000000004
245,182,2MASS J22373255+3922398,64.0,0.069684924
246,183,2MASSW J2244316+204343,56.0,0.011455056
247,184,2MASS J23224684-3133231,56.0,0.022910112
248,185,2MASS J23225299-6151275,148.0,0.016227996
249,186,2MASS J23515044-2537367,67.0,0.084003744
250,187,2MASSI J2356547-155310,74.0,0.07636704
251,225,WISE 0410+1502,20.0,0.005727528
252,229,WISE 0458+6434A,35.9,0.014318820000000001
253,230,WISE 0458+6434B,35.9,0.00954588
254,284,WISE 1405+5534,25.3,0.028637640000000002
